Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
243,-0.41985,0.19084,0.35115,-1.02051,0.06543,-0.13110,0.00,0.00,0.00
244,-0.47328,0.04580,0.19084,-1.01465,0.06445,-0.13379,0.00,0.00,0.00
245,-0.54962,0.10687,0.29771,-1.01343,0.06396,-0.13306,0.00,0.00,0.00
246,-0.74809,0.03817,0.15267,-1.02344,0.06348,-0.13354,0.00,0.00,0.00
247,-0.70229,-0.12977,0.28244,-1.01343,0.06201,-0.12866,0.00,0.00,0.00
248,-0.64885,0.08397,0.30534,-1.01514,0.05908,-0.13843,0.00,0.00,0.00
249,-0.63359,0.31298,0.35878,-1.01929,0.06104,-0.13403,0.00,0.00,0.00
250,-0.71756,0.22901,0.58779,-1.01416,0.06226,-0.14111,0.00,0.00,0.00
251,-0.61832,0.23664,0.45802,-1.01733,0.06616,-0.13232,0.00,0.00,0.00
252,-0.64122,0.24427,0.53435,-1.01831,0.06592,-0.13550,0.00,0.00,0.00
253,-0.85496,0.12977,0.48092,-1.01514,0.06934,-0.13086,0.00,0.00,0.00
254,-0.58779,0.33588,0.51145,-1.01587,0.06421,-0.13672,0.00,0.00,0.00
255,-0.71756,0.03053,0.30534,-1.01636,0.06738,-0.12964,0.00,0.00,0.00
256,-0.83206,0.14504,0.53435,-1.01904,0.06909,-0.13428,0.00,0.00,0.00
257,-0.67939,0.20611,0.26718,-1.01465,0.06616,-0.13501,0.00,0.00,0.00
258,-0.72519,0.16031,0.36641,-1.01636,0.06714,-0.13843,0.00,0.00,0.00
259,-0.50382,0.02290,0.22137,-1.01978,0.06860,-0.13574,0.00,0.00,0.00
260,-0.70229,0.21374,0.29771,-1.01782,0.06714,-0.13550,0.00,0.00,0.00
261,-0.76336,0.22901,0.23664,-1.01782,0.06445,-0.13867,0.00,0.00,0.00
262,-0.79389,0.34351,0.22137,-1.01831,0.06299,-0.14038,0.00,0.00,0.00
263,-0.83206,-0.16794,0.02290,-1.01782,0.06348,-0.13599,0.00,0.00,0.00
264,-0.74809,0.05344,0.19084,-1.01855,0.06152,-0.13184,0.00,0.00,0.00
265,-0.73282,0.19847,0.16031,-1.01758,0.05835,-0.13818,0.00,0.00,0.00
266,-0.84733,0.16031,0.12214,-1.01440,0.06958,-0.13306,0.00,0.00,0.00
267,-0.70229,0.30534,0.23664,-1.01489,0.06543,-0.13843,0.00,0.00,0.00
268,-0.58779,0.03053,0.24427,-1.01489,0.06909,-0.13867,0.00,0.00,0.00
269,-0.87786,0.16794,0.24427,-1.01636,0.06934,-0.13940,0.00,0.00,0.00
270,-0.86260,0.12214,0.38931,-1.01367,0.06421,-0.13062,0.00,0.00,0.00
271,-0.91603,0.02290,0.35878,-1.01685,0.07153,-0.12744,0.00,0.00,0.00
272,-1.01527,0.14504,0.25191,-1.01392,0.07104,-0.13696,0.00,0.00,0.00
273,-1.09160,0.18321,0.16794,-1.02466,0.06714,-0.13940,0.00,0.00,0.00
274,-1.30534,0.19084,0.04580,-1.01465,0.07153,-0.13379,0.00,0.00,0.00
275,-1.27481,0.03053,0.09924,-1.02124,0.07324,-0.13525,0.00,0.00,0.00
276,-1.06107,0.19084,0.24427,-1.01440,0.06665,-0.13354,0.00,0.00,0.00
277,-1.05344,0.02290,0.23664,-1.02051,0.06519,-0.13647,0.00,0.00,0.00
278,-1.29008,-0.09160,0.16794,-1.01440,0.06494,-0.13623,0.00,0.00,0.00
279,-1.29008,0.09160,0.15267,-1.01611,0.06763,-0.13428,0.00,0.00,0.00
280,-1.03053,0.13740,0.17557,-1.01172,0.06519,-0.13428,0.00,0.00,0.00
281,-1.00763,0.25191,0.22137,-1.01782,0.06738,-0.13062,0.00,0.00,0.00
282,-0.66412,0.23664,0.00763,-1.01807,0.06152,-0.13379,0.00,0.00,0.00
